    PID TTY          TIME CMD
     73 pts/1    00:00:00 bash
  72623 pts/1    00:00:56 uvicorn
  72822 pts/1    00:00:05 python3.11
  72885 pts/1    00:00:00 python3.11
  72887 pts/1    00:00:00 python3.11
  72889 pts/1    00:00:00 python3.11
  72891 pts/1    00:00:00 python3.11
  72893 pts/1    00:00:00 python3.11
  72895 pts/1    00:00:00 python3.11
  72897 pts/1    00:00:00 python3.11
  72899 pts/1    00:00:00 python3.11
  72901 pts/1    00:00:00 python3.11
  72903 pts/1    00:00:00 python3.11
  72905 pts/1    00:00:00 python3.11
  72907 pts/1    00:00:00 python3.11
  72909 pts/1    00:00:00 python3.11
  72911 pts/1    00:00:00 python3.11
  72913 pts/1    00:00:00 python3.11
  72915 pts/1    00:00:00 python3.11
  72917 pts/1    00:00:00 python3.11
  72919 pts/1    00:00:00 python3.11
  72921 pts/1    00:00:00 python3.11
  72923 pts/1    00:00:00 python3.11
  72925 pts/1    00:00:00 python3.11
  72927 pts/1    00:00:00 python3.11
  72929 pts/1    00:00:00 python3.11
  72931 pts/1    00:00:00 python3.11
  72933 pts/1    00:00:00 python3.11
  72935 pts/1    00:00:00 python3.11
  72937 pts/1    00:00:00 python3.11
  72939 pts/1    00:00:00 python3.11
  75026 pts/1    00:00:00 ps
